ID,标签,标题                            ,问题                                                                                                                                                 ,答案                                                                                                                                                                           ,省份 ,年份
5 ,0 ,西藏汉族                          ,您好我是西藏汉族文史类分数高重本线40分排名532报贵校录取几率大吗谢谢老师                                                                                                             ,平行志愿，冲一下，希望很大！！！                                                                                                                                                             ,西藏 ,2021
6 ,0 ,中外合作                          ,中外合作学生因故不能出国学习怎么处理？毕业证书和其它专业一样吗？物理518分被录取的概率多大？                                                                                                    ,毕业证是都普教全日制的毕业证书。不能出国学生，在符合毕业条件，学士学位条件下，但会在毕业证、学位证上备注：未赴合作院校修读。冲吧，物理518，希望很大！！                                                                                                ,广东 ,2021
7 ,0 ,进入贵校的相关问题：校区？专业？转专业？双学位？招生办？  ,1.有一些专业（如金融学）有的4年都在广州校区，有的4年都在佛山校区，且佛山校区的分数线比广州校区的低，请问是什么原因？有什么区别吗？2.一些专业后面加了（智能xx），这是今年新设的专业吗？具体有什么（如课程内容）不一样？3.转专业是所有专业之间都可以互转吗？如果不是，具体哪些不...[详细],校区不同，分数很正常，大家都喜欢在广州，自然水涨船高！！比如说会计学（智能会计）这些都是新开的专业方向！！具体各专业介绍请到我校招办网站（zsb.gdufe.edu.cn)下载2021年报考指南！4年佛山校区的专业有机会转入2+2的专业或者4年广州校区的专业，具体条件见入校后相关学籍管理规定；辅...[详细]                  ,广东 ,2021
8 ,0 ,广电编专业                         ,如果报了贵校的广电编专业但是分数不够会不会被退档或者滑档?                                                                                                                      ,分数不够，投不到我们学校的！！！平行志愿模式投档过来的广播电视编导专业考生，身体符合录取条件，原则上不退档！                                                                                                                       ,广东 ,2021
9 ,0 ,排名                            ,请问，我的排名是22949，能否报考贵校呢？                                                                                                                             ,那个省的考生，文科还是理科，或者是历史类还是物理类？？                                                                                                                                                  ,广东 ,2021
10,0 ,关于专业要求                        ,请问报考专业时是否有特定的专业要求？比如色弱不能报考的专业                                                                                                                      ,我校各专业体检要求是根据教育部相关体检标准进行！！！                                                                                                                                                   ,广东 ,2021
11,0 ,录取                            ,广东物理546分，排位73000多，有机会录取吗                                                                                                                           ,有机会！欢迎报考！                                                                                                                                                                    ,广东 ,2021
12,0 ,广东物理类考生                       ,你好，请问物理类考生分数548排位71487能充贵校的什么专业吗                                                                                                                   ,冲报一下！！今年是按照分数优先的录取原则，可大胆填报！！                                                                                                                                                 ,广东 ,2021
13,0 ,地方专项                          ,为什么贵校没有设有地方专项的专业组？                                                                                                                                 ,我校只在物理类设置地方专项专业组！！                                                                                                                                                           ,广东 ,2021
14,0 ,法学重庆                          ,法学有特殊要求吗？历史化学生物可以选吧？重庆考生537（含加分）位次1.4万左右，有希望吗                                                                                                      ,有一定希望，欢迎冲报广财！                                                                                                                                                                ,重庆 ,2021
15,0 ,大数据管理与应用                      ,217大数据管理与应用和261大数据管理与应用专业是有什么区别吗？                                                                                                                  ,详见我校2021年报考指南！http://zsb.gdufe.edu.cn                                                                                                                                        ,广东 ,2021
16,0 ,专业                            ,请问一下如果我服从调剂进入了贵校，到时候可以转专业到设计艺术类专业吗，本人是普通历史类考生（非艺术生）                                                                                                ,到目前为止，暂未有普通类转专业到艺术类专业修读的案例！！！                                                                                                                                                ,广东 ,2021
17,0 ,录取                            ,广东排名四万五报考财大的数字经济有希望吗，如果服从调剂会被退档吗                                                                                                                   ,如果是物理类，机会很大！欢迎报考！平行志愿模式下投档的考生，服从专业调剂，身体符合专业要求，我校不退档！                                                                                                                         ,广东 ,2021
18,0 ,录取                            ,广东历史排名20454可以进吗                                                                                                                                    ,有机会进！欢迎报考广东财经大学！                                                                                                                                                             ,广东 ,2021
19,0 ,咨询网络与新媒体                      ,我广东文科532分可以选择这个新增专业吗                                                                                                                               ,欢迎报考！！冲报一下！！                                                                                                                                                                 ,广东 ,2021
5 ,0 ,人文地理与城乡规划                     ,你好，我是广东考生，排名在六万八，报考贵校的人文地理与城乡规划，被录取的几率大吗？                                                                                                          ,欢迎冲报！！有机会！                                                                                                                                                                   ,广东 ,2021
6 ,0 ,你好                            ,我想向您咨询一下会计学，金融学与税收学在我对三个专业都不是有特别大的兴趣的情况下应如何选择，是否可以通过各科的成绩来在这三科之中选择呢谢谢指导                                                                            ,这个因人而异，可以跟家人商量一下，或者加我校咨询群与咨询员直接沟通！Q群号码：429948990                                                                                                                             ,广东 ,2021
7 ,0 ,录取几率                          ,广东历史类考生，排名28092.请问被贵校业录取的可能性高吗？                                                                                                                    ,欢迎报考，还是要有点小愿望！！                                                                                                                                                              ,广东 ,2021
8 ,0 ,录取                            ,您好，我是广东省物理考生，请问大概排位需要多少可以进去贵校的法学                                                                                                                   ,去年我校理工类法学投档排位近6万！！                                                                                                                                                           ,广东 ,2021
9 ,0 ,招生                            ,海南今年有招生计划吗                                                                                                                                         ,有，今年海南计划8名！                                                                                                                                                                  ,海南 ,2021
10,0 ,可以转专业吗                        ,什么时候可以，有什么要求，                                                                                                                                      ,入学后实验区遴选，及专业二次选择，具体办法入校后另行通知！                                                                                                                                                ,广东 ,2021
11,0 ,投档                            ,理科71000排名有机会？                                                                                                                                      ,有机会，欢迎报考我校！                                                                                                                                                                  ,广东 ,2021
12,0 ,服从调剂后是随机分配到该专业组其他专业嘛还是按排位分配   ,服从调剂后会可能分到中外合作的专业吗                                                                                                                                 ,调剂只能在同一个院校专业组内调剂！！                                                                                                                                                           ,广东 ,2021
13,0 ,录取                            ,你好，我是广西考生，离一本线还差1分，报考贵校的会计学专业录取概率大么                                                                                                                ,我校在广西省在一本录取！不到一本线，无法填报！！                                                                                                                                                     ,广西 ,2021
14,0 ,转专业和修双学位                      ,转专业的条件是什么？可以修双学位吗？修双学位有什么条件吗？感谢                                                                                                                    ,转专业条件，入校后另行通知；我校可以辅修！                                                                                                                                                        ,内蒙古,2021
15,0 ,今年物理类考生扩招了吗汉语言专业有没有单科要求       ,广东省物理类排名六万五左右可以上贵校的汉语言专业嘛？这个专业对单科成绩有要求吗                                                                                                            ,汉语言文学无单科要求                                                                                                                                                                   ,广东 ,2021
16,0 ,招生                            ,我是单列外语考生，考了279，排名10001，是否可以报这所贵校                                                                                                                   ,我校在新疆为一本批次，具体按照贵区要求填报！！                                                                                                                                                      ,新疆 ,2021
17,0 ,咨询                            ,请问有贵校近三年在各省录取批次表吗？                                                                                                                                 ,暂无统计！！湖南省，高考改革前在二本录取！！                                                                                                                                                       ,湖南 ,2021
18,0 ,录取                            ,广东物理类排位6w，有机会吗                                                                                                                                     ,机会较大！欢迎报考！！                                                                                                                                                                  ,广东 ,2021
19,0 ,录取                            ,广东省考生历化地，高考成绩545，排位21304，被贵校的英语专业录取机会大吗                                                                                                            ,有一定希望，欢迎报考！！！                                                                                                                                                                ,广东 ,2021
5 ,0 ,报考                            ,你好，我是湖北省的考生，首选历史，高考成绩为550，位次是16330，报考本校有希望录取吗                                                                                                      ,历史16330，欢迎冲报！！                                                                                                                                                               ,湖北 ,2021
6 ,0 ,录取机会                          ,广东省美术类考生综合507艺术类排位5805有机会报考贵校吗                                                                                                                     ,5805，还是有机会，欢迎报考！！                                                                                                                                                            ,广东 ,2021
7 ,0 ,广东财经大学                        ,您好，我的高考成绩是541，排文科的23268名.我想问一下，能否可以考虑报考贵校！谢谢                                                                                                       ,欢迎冲报我校！！                                                                                                                                                                     ,广东 ,2021
8 ,0 ,想报考广财的英语专业                    ,老师，你好！广东历史生，553分，省排名：17493，请问录取到：英语、商务英语或者翻译专业的把握有多大？我看到今年外语专业历史生的招生人数，比去年缩减了57人，能推测出大概要多少排位才能稳上呢？                                                 ,1.7W应该说是把握比较大的了！欢迎报考！！！                                                                                                                                                      ,广东 ,2021
9 ,0 ,投档                            ,请问贵校是有出档不退档的承诺吗？                                                                                                                                   ,平行志愿模式下投档的考生，服从专业调剂，身体符合录取条件的，原则上不退档！！                                                                                                                                       ,广东 ,2021
10,0 ,录取                            ,老师，您好！广东省理科排位七万五，被广东财经大学录取的机会有多少呢？                                                                                                                 ,有希望，欢迎冲报                                                                                                                                                                     ,广东 ,2021
11,0 ,地方专项                          ,请问贵校的地方专项有专业限制吗？如果有，有什么专业可选呢？该如何填报呢？                                                                                                               ,详细见我校2021年报考指南，http://zsb.gdufe.edu.cn                                                                                                                                       ,广东 ,2021
12,0 ,录取                            ,文史类556，排位15842，可以去贵校好专业吗？                                                                                                                          ,广东1.5W历史类可以录取到我校较热门专业，欢迎报考！！！                                                                                                                                                ,广东 ,2021
13,0 ,无                             ,四川美术228文化392能进贵校吗????????????????                                                                                                                  ,欢迎报考！！                                                                                                                                                                       ,四川 ,2021
14,0 ,录取                            ,老师，你好，我是河北女孩理科，分数579，位次23927，报考贵校的会计，金融，法学专业希望大吗？                                                                                                  ,欢迎报考！！希望较高！                                                                                                                                                                  ,河北 ,2021
15,0 ,录取                            ,您好，请问广东考生物理+生物+政治540分报考贵校金融学专业，录取几率大吗                                                                                                              ,具体排位多少？！佛山全学段金融学专业分数相对较低！！可以试一下！                                                                                                                                             ,广东 ,2021
16,0 ,广东文科                          ,544排名二万一若服从调剂有机会进广财吗或者报冷门专业                                                                                                                        ,机会较大，欢迎报考！！                                                                                                                                                                  ,广东 ,2021
17,0 ,录取                            ,请问湖南3w多名的考生可以报考贵校吗？可以转专业吗，有哪些要求？谢谢                                                                                                                 ,欢迎报考我校！有2次转专业机会！！！具体要求入校后，另行通知                                                                                                                                               ,湖南 ,2021
18,0 ,咨询                            ,我是2021届历化地考生高考成绩534排名27276可以报考本校吗                                                                                                                  ,2.7W，机会还是有，欢迎报考！！                                                                                                                                                            ,广东 ,2021
19,0 ,录取                            ,请问，湖南文科535，排名16076被录取希望大吗，可以报考什么专业                                                                                                                 ,欢迎报考！！                                                                                                                                                                       ,湖南 ,2021
5 ,0 ,排位                            ,请问理科排位98000有机会被录取吗                                                                                                                                 ,202院校专业组，机会较小！！！204院校专业组机会很大！！                                                                                                                                               ,广东 ,2021
6 ,0 ,录取                            ,广东省物理类考生排名需要多少可以冲贵校？该校今年是否有大数据类专业？                                                                                                                 ,欢迎报考！我校有大数据管理与应用及数据科学与大数据技术两个专业！！                                                                                                                                            ,广东 ,2021
7 ,0 ,广东省物理考生，分数544，排名76074，有希望报考贵校 ,请问广东省物理考生，分数544，排名76074，有希望报考贵校吗？                                                                                                                  ,可以冲报我校！                                                                                                                                                                      ,广东 ,2021
8 ,0 ,录取                            ,广州文科生，531分，排位29120，有机会入贵校法学系吗？                                                                                                                     ,法学专业属于我校热门专业，2.9万，机会不大！                                                                                                                                                      ,广东 ,2021
9 ,0 ,录取                            ,广东考生，物理＋生物＋地理总分555省排位63811能被贵校录取吗？                                                                                                                 ,机会很大，欢迎报考！！                                                                                                                                                                  ,广东 ,2021
10,0 ,录取机会                          ,广东理科85947名有机会读贵校吗，什么专业组机率大？                                                                                                                        ,欢迎报考！！204组（中外联合培养项目班）机会很大！！                                                                                                                                                  ,广东 ,2021
11,0 ,投档                            ,若该专业没满人且也被提档，但排位相距上年最低排位有较大的差距，符合身体要求，如此还会被退档吗？                                                                                                    ,平行志愿模式下投档在考生，服从调剂，身体符合录取条件，原则上不退档！                                                                                                                                           ,广东 ,2021
12,0 ,提档                            ,请问只剩一个专业没有满人，那么贵校提档是否还按大于1：1来提档呢？                                                                                                                  ,平行模式下调档比例不超过1：1.05，具体需要根据生源情况调整！！                                                                                                                                            ,广东 ,2021
13,0 ,录取                            ,广东文科考生509分43302名有机会被贵校录取英语师范专业吗？                                                                                                                   ,我校无师范类专业！！                                                                                                                                                                   ,广东 ,2021
14,0 ,录取                            ,请问今年高考分数549，理科生能冲一下广东财经大学吗，谢谢。                                                                                                                     ,欢迎报考，机会较大！！                                                                                                                                                                  ,广东 ,2021
15,0 ,老师您好，贵校的数字媒体艺术专业分两个校区         ,想问一下，广州校区的数字媒体艺术专业跟佛山校区的数字媒体艺术专业有什么区别吗？                                                                                                            ,开设学院不同，具体见我校招办网站（http://zsb.gdufe.edu.cn)2021年报考指南！                                                                                                                          ,广东 ,2021
16,0 ,我是否有机会冲击贵校                    ,高考分数536，排名85947，我是否有机会冲上贵校？如若有，我应该报考哪些专业？                                                                                                          ,欢迎报考！！                                                                                                                                                                       ,广东 ,2021
17,0 ,录取                            ,广东理科生，536，排名85947，可以报读贵校吗？什么专业组录取机会大？                                                                                                              ,可以冲报我校！！204院校专业组机会很大！！                                                                                                                                                       ,广东 ,2021
18,0 ,提档                            ,提档率是多少                                                                                                                                             ,平行志愿模式下不超过1：1.05                                                                                                                                                             ,河北 ,2021
19,0 ,你好！                           ,我想问一下文科544排位21695有机会进贵校吗                                                                                                                           ,机会较大，欢迎报考我校！                                                                                                                                                                 ,广东 ,2021
5 ,0 ,录取                            ,你好，广东历史类考生534分，26926排位可以被贵校录取吗，能否转专业                                                                                                               ,203院校专业组机会很大！！201院校专业组冲一下！！！201组录取有机会转专业！！                                                                                                                                   ,广东 ,2021
